number oder,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,PreTest,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,Date
836,female,group C,high school,standard,completed,60,64,74,> 10,regularly,yes,5,private,3/16/2022
837,male,group E,high school,standard,none,73,64,57,> 10,sometimes,yes,1,school_bus,NULL
838,female,NULL,high school,standard,completed,75,82,79,< 5,never,yes,0,,3/18/2022
839,male,group B,associate's degree,free/reduced,completed,58,57,53,10-May,sometimes,no,,school_bus,3/19/2022
840,female,group C,associate's degree,standard,none,66,NULL,73,> 10,regularly,yes,,school_bus,3/20/2022
841,female,group D,high school,free/reduced,none,39,52,46,10-May,sometimes,no,3,school_bus,3/21/2022
842,male,group C,some high school,NULL,none,64,NULL,51,< 5,NULL,no,3,school_bus,3/22/2022
843,female,group B,high school,free/reduced,NULL,23,NULL,36,10-May,regularly,no,1,private,3/23/2022
844,male,group B,some college,free/reduced,completed,74,NULL,76,10-May,regularly,yes,1,school_bus,3/24/2022
845,female,group D,some high school,free/reduced,completed,40,65,64,,sometimes,yes,2,school_bus,3/25/2022
846,male,group E,master's degree,standard,none,90,85,84,> 10,sometimes,yes,0,private,3/26/2022
847,male,group C,master's degree,standard,completed,91,85,85,< 5,NULL,yes,3,school_bus,3/27/2022
848,male,group D,high school,standard,none,64,54,50,10-May,regularly,no,5,private,3/28/2022
849,female,group C,high school,standard,none,59,72,68,10-May,regularly,yes,3,school_bus,3/29/2022
850,male,group D,associate's degree,standard,none,80,75,69,< 5,regularly,yes,3,private,3/30/2022
851,male,group C,master's degree,standard,none,71,67,67,< 5,sometimes,no,3,school_bus,3/31/2022
852,female,group A,high school,standard,none,61,68,63,10-May,sometimes,yes,1,private,5/1/2022
853,female,group E,some college,standard,none,87,85,93,10-May,sometimes,no,3,private,5/2/2022
854,male,group E,some high school,standard,none,82,67,61,10-May,sometimes,yes,NULL,school_bus,5/3/2022
855,male,group C,some high school,standard,NULL,62,64,55,< 5,sometimes,yes,0,,5/4/2022
856,female,group B,bachelor's degree,standard,none,NULL,97,96,10-May,sometimes,yes,0,NULL,5/5/2022
857,male,group B,some college,free/reduced,none,75,68,65,10-May,regularly,yes,4,school_bus,5/6/2022
858,female,group C,bachelor's degree,standard,none,65,79,81,< 5,never,yes,2,private,NULL
859,male,group B,high school,standard,completed,52,49,46,< 5,regularly,yes,0,private,5/8/2022
860,male,group C,associate's degree,free/reduced,none,87,73,72,> 10,regularly,,5,private,5/9/2022
861,female,group C,associate's degree,standard,none,53,62,53,10-May,sometimes,no,1,school_bus,5/10/2022
862,female,group E,master's degree,free/reduced,none,81,86,87,< 5,sometimes,no,1,private,5/11/2022
863,male,group D,NULL,free/reduced,completed,39,42,38,10-May,sometimes,yes,3,private,5/12/2022
864,female,group C,some college,standard,completed,71,71,80,10-May,regularly,no,1,school_bus,5/13/2022
865,male,group C,associate's degree,standard,none,97,93,91,10-May,sometimes,yes,3,NULL,5/14/2022
866,male,group D,some college,standard,completed,82,82,88,< 5,regularly,yes,2,school_bus,5/15/2022
867,male,group C,high school,free/reduced,NULL,59,53,52,> 10,sometimes,yes,2,school_bus,5/16/2022
868,male,group B,associate's degree,standard,none,61,42,41,10-May,regularly,no,2,private,5/17/2022
869,male,group E,associate's degree,free/reduced,completed,78,74,72,10-May,regularly,yes,7,private,5/18/2022
870,male,group C,associate's degree,free/reduced,none,49,51,51,< 5,regularly,NULL,1,private,5/19/2022
871,male,group B,high school,standard,none,59,58,47,10-May,regularly,yes,0,private,5/20/2022
872,female,group C,some college,standard,completed,NULL,72,76,10-May,,yes,NULL,school_bus,5/21/2022
873,male,group B,associate's degree,standard,completed,82,84,78,NULL,regularly,,1,NULL,5/22/2022
874,male,group E,associate's degree,free/reduced,none,90,90,82,< 5,regularly,no,1,school_bus,5/23/2022
875,female,group C,bachelor's degree,free/reduced,none,43,62,61,10-May,sometimes,no,1,school_bus,5/24/2022
876,male,group C,some college,free/reduced,none,80,64,66,10-May,sometimes,yes,0,school_bus,5/25/2022
877,male,group D,some college,standard,none,81,82,84,10-May,regularly,no,2,school_bus,5/26/2022
878,male,group C,some high school,standard,none,57,61,54,,sometimes,yes,0,NULL,5/27/2022
879,female,group D,some high school,standard,none,59,72,NULL,> 10,sometimes,NULL,1,school_bus,5/28/2022
880,female,NULL,associate's degree,standard,none,NULL,76,74,10-May,sometimes,yes,0,school_bus,5/29/2022
881,male,group C,bachelor's degree,standard,completed,63,64,66,< 5,never,yes,2,private,5/30/2022
882,female,group E,bachelor's degree,standard,completed,71,70,70,< 5,regularly,yes,2,,5/31/2022
883,female,group B,high school,free/reduced,none,64,NULL,71,10-May,regularly,yes,2,private,6/1/2022
884,male,group D,bachelor's degree,free/reduced,none,55,46,44,< 5,sometimes,yes,5,private,6/2/2022
885,female,group E,associate's degree,standard,none,51,51,54,> 10,sometimes,no,2,school_bus,6/3/2022
886,female,group C,associate's degree,standard,completed,62,76,80,10-May,regularly,yes,0,private,6/4/2022
887,female,group E,associate's degree,standard,completed,93,100,95,10-May,never,no,1,school_bus,6/5/2022
888,male,group C,high school,free/reduced,none,54,NULL,NULL,< 5,regularly,yes,1,private,6/6/2022
889,female,group D,some college,free/reduced,none,69,65,74,10-May,sometimes,yes,1,private,6/7/2022
890,male,group D,high school,free/reduced,none,NULL,51,48,,regularly,yes,NULL,private,6/8/2022
891,female,group E,some college,standard,completed,86,85,91,10-May,never,yes,0,school_bus,6/9/2022
892,female,group E,associate's degree,standard,none,85,92,NULL,10-May,regularly,no,1,school_bus,6/10/2022
893,female,group A,master's degree,free/reduced,none,50,67,73,< 5,regularly,yes,0,private,6/11/2022
894,male,group D,some high school,standard,completed,88,74,75,10-May,sometimes,no,3,school_bus,6/12/2022
895,female,group E,associate's degree,standard,none,59,62,NULL,NULL,sometimes,yes,3,private,6/13/2022
896,female,NULL,some high school,free/reduced,none,32,34,38,10-May,regularly,no,1,school_bus,6/14/2022
897,male,group B,high school,free/reduced,none,36,29,27,< 5,sometimes,yes,3,private,6/15/2022
898,female,NULL,some high school,free/reduced,completed,63,78,79,< 5,sometimes,yes,1,private,6/16/2022
899,male,group D,associate's degree,standard,completed,67,54,63,< 5,regularly,no,1,school_bus,6/17/2022
900,female,group D,some high school,standard,completed,65,78,82,> 10,sometimes,yes,3,private,6/18/2022
901,male,group D,master's degree,standard,none,85,84,89,10-May,never,yes,0,private,6/19/2022
902,female,group C,master's degree,standard,none,73,78,74,,regularly,yes,3,,6/20/2022
903,female,group A,high school,free/reduced,completed,34,48,NULL,10-May,sometimes,yes,1,private,NULL
904,female,group D,bachelor's degree,free/reduced,completed,93,100,100,10-May,sometimes,no,3,private,6/22/2022
905,female,group D,some high school,free/reduced,none,67,84,84,< 5,sometimes,yes,2,private,6/23/2022
906,male,group D,some college,standard,none,88,77,NULL,> 10,regularly,no,5,school_bus,NULL
907,male,group B,high school,standard,none,57,48,51,10-May,regularly,yes,0,private,6/25/2022
908,female,group D,some college,standard,completed,79,84,91,,sometimes,yes,4,school_bus,6/26/2022
909,female,group C,bachelor's degree,free/reduced,none,67,75,72,< 5,NULL,yes,1,school_bus,6/27/2022
910,male,group E,bachelor's degree,standard,completed,70,64,70,10-May,sometimes,,3,private,6/28/2022
911,male,group D,bachelor's degree,free/reduced,none,50,42,48,10-May,regularly,no,2,school_bus,6/29/2022
912,female,group A,some college,standard,none,69,84,82,10-May,regularly,yes,4,school_bus,6/30/2022
913,female,group C,bachelor's degree,standard,completed,52,NULL,66,10-May,regularly,no,3,school_bus,7/1/2022
914,female,group C,bachelor's degree,free/reduced,completed,47,62,66,10-May,never,yes,1,school_bus,7/2/2022
915,female,group B,associate's degree,free/reduced,none,46,61,55,10-May,sometimes,no,4,school_bus,7/3/2022
916,female,group E,some college,standard,none,68,70,66,10-May,regularly,yes,,school_bus,7/4/2022
917,NULL,group E,bachelor's degree,standard,completed,100,100,100,10-May,regularly,NULL,1,school_bus,7/5/2022
918,female,group C,high school,standard,none,44,61,52,< 5,never,yes,4,school_bus,7/6/2022
919,female,group C,associate's degree,standard,completed,57,77,80,,regularly,NULL,1,school_bus,7/7/2022
920,male,group B,NULL,standard,completed,91,96,91,10-May,never,yes,1,school_bus,7/8/2022
921,male,group D,NULL,free/reduced,none,69,70,67,10-May,regularly,yes,0,school_bus,7/9/2022
922,female,group C,high school,free/reduced,none,35,53,NULL,> 10,regularly,yes,2,school_bus,7/10/2022
923,male,group D,high school,standard,NULL,72,66,66,10-May,regularly,,3,school_bus,7/11/2022
924,female,group B,associate's degree,free/reduced,none,54,65,65,< 5,regularly,yes,3,,7/12/2022
925,male,group D,high school,free/reduced,none,NULL,70,69,< 5,sometimes,no,2,school_bus,7/13/2022
926,male,group E,some high school,standard,completed,74,64,60,< 5,sometimes,yes,1,school_bus,7/14/2022
927,male,group E,associate's degree,free/reduced,none,64,56,52,< 5,regularly,yes,5,private,7/15/2022
928,female,group D,high school,free/reduced,completed,65,61,71,10-May,sometimes,no,3,private,NULL
929,male,group E,associate's degree,free/reduced,completed,NULL,43,44,10-May,sometimes,yes,1,private,NULL
930,female,group C,some high school,free/reduced,none,48,56,NULL,10-May,regularly,no,2,school_bus,7/18/2022
931,male,group C,some college,free/reduced,completed,67,74,70,< 5,sometimes,yes,4,,7/19/2022
932,male,group D,some college,free/reduced,none,62,57,62,> 10,regularly,yes,1,,7/20/2022
933,male,NULL,associate's degree,free/reduced,completed,61,71,73,10-May,regularly,yes,6,school_bus,7/21/2022
934,male,group C,bachelor's degree,free/reduced,completed,70,75,74,< 5,regularly,NULL,1,private,7/22/2022
935,male,NULL,associate's degree,standard,completed,98,87,90,10-May,never,yes,,NULL,7/23/2022
936,male,group D,some college,free/reduced,none,70,63,58,10-May,regularly,yes,0,school_bus,7/24/2022
937,male,group A,associate's degree,standard,none,67,57,53,10-May,sometimes,no,5,school_bus,7/25/2022
938,female,group E,high school,free/reduced,none,57,58,57,NULL,regularly,yes,3,school_bus,7/26/2022
939,male,group D,some college,standard,completed,85,81,85,10-May,regularly,yes,1,school_bus,7/27/2022
940,male,group D,some high school,standard,completed,77,68,69,10-May,regularly,no,1,school_bus,7/28/2022
941,male,group C,master's degree,free/reduced,completed,72,NULL,72,10-May,sometimes,yes,1,school_bus,7/29/2022
942,female,group D,master's degree,standard,none,78,91,96,10-May,sometimes,yes,3,school_bus,7/30/2022
943,male,group C,high school,standard,none,81,66,64,> 10,regularly,no,7,school_bus,7/31/2022
944,male,group A,some high school,free/reduced,completed,61,62,61,10-May,never,no,2,school_bus,8/1/2022
945,female,group B,high school,standard,none,58,68,61,< 5,regularly,yes,2,school_bus,8/2/2022
946,female,group C,associate's degree,standard,none,54,61,58,10-May,sometimes,no,2,school_bus,8/3/2022
947,NULL,group B,high school,standard,none,82,82,80,10-May,sometimes,yes,3,school_bus,8/4/2022
948,female,group D,some college,free/reduced,none,49,58,60,> 10,regularly,yes,1,school_bus,8/5/2022
949,NULL,group B,some high school,free/reduced,completed,49,50,52,10-May,never,yes,0,private,8/6/2022
950,female,group E,high school,free/reduced,completed,57,75,73,< 5,sometimes,yes,1,school_bus,8/7/2022
951,male,group E,high school,standard,none,94,NULL,71,10-May,regularly,no,1,private,8/8/2022
952,female,group D,some college,standard,completed,75,NULL,83,,regularly,no,,private,8/9/2022
953,female,group E,some high school,free/reduced,none,74,74,72,10-May,regularly,yes,2,private,8/10/2022
954,male,group C,high school,standard,completed,58,52,54,< 5,regularly,yes,0,school_bus,8/11/2022
955,female,group C,NULL,standard,none,62,69,69,< 5,,yes,3,private,8/12/2022
956,male,group E,NULL,standard,none,72,57,62,< 5,regularly,no,1,private,8/13/2022
957,male,group C,some college,standard,none,84,87,81,> 10,regularly,yes,,private,8/14/2022
958,female,group D,master's degree,standard,none,92,100,100,> 10,sometimes,no,2,school_bus,8/15/2022
959,female,group D,high school,standard,none,45,63,59,< 5,regularly,yes,4,NULL,8/16/2022
960,male,group C,high school,standard,none,75,81,71,< 5,never,yes,3,school_bus,8/17/2022
961,female,group A,some college,standard,none,56,58,64,10-May,sometimes,yes,2,private,8/18/2022
962,female,group D,some high school,free/reduced,none,48,54,53,< 5,sometimes,yes,NULL,school_bus,8/19/2022
963,female,group E,associate's degree,standard,none,100,100,100,< 5,NULL,NULL,0,school_bus,8/20/2022
964,female,group C,NULL,free/reduced,completed,65,76,75,10-May,regularly,no,1,private,8/21/2022
965,male,group D,some college,standard,none,72,57,58,10-May,sometimes,yes,NULL,school_bus,8/22/2022
966,female,group D,some college,standard,none,NULL,70,72,10-May,regularly,yes,1,school_bus,8/23/2022
967,male,group A,some high school,standard,completed,66,68,64,> 10,never,yes,2,,8/24/2022
968,male,group C,some college,standard,none,63,63,60,> 10,sometimes,yes,0,,8/25/2022
969,female,group E,associate's degree,standard,none,68,76,67,10-May,sometimes,yes,3,private,8/26/2022
970,female,group B,bachelor's degree,standard,none,75,84,80,< 5,sometimes,yes,2,school_bus,8/27/2022
971,female,group D,bachelor's degree,standard,none,NULL,100,100,> 10,sometimes,yes,0,school_bus,8/28/2022
972,male,group C,some high school,standard,completed,78,72,69,10-May,NULL,yes,0,private,8/29/2022
973,female,group A,high school,free/reduced,completed,53,50,60,10-May,sometimes,no,1,private,8/30/2022
974,female,group D,some college,free/reduced,none,49,NULL,61,< 5,sometimes,yes,4,NULL,8/31/2022
975,female,group A,some college,standard,none,54,63,67,10-May,regularly,yes,0,private,9/1/2022
976,NULL,group C,some college,standard,completed,64,82,77,< 5,regularly,yes,2,school_bus,9/2/2022
977,male,group B,some college,free/reduced,completed,60,62,60,> 10,sometimes,no,4,school_bus,9/3/2022
978,male,group C,associate's degree,standard,none,62,65,58,> 10,sometimes,no,3,private,9/4/2022
979,male,group D,high school,standard,NULL,55,41,48,> 10,never,yes,2,school_bus,9/5/2022
980,female,group C,associate's degree,standard,none,91,95,94,10-May,sometimes,yes,3,school_bus,9/6/2022
981,female,group B,high school,free/reduced,none,8,24,23,< 5,sometimes,yes,,school_bus,9/7/2022
982,male,group D,some high school,standard,none,81,78,78,10-May,regularly,yes,1,private,9/8/2022
983,male,group B,some high school,standard,completed,79,85,86,10-May,sometimes,no,6,school_bus,9/9/2022
984,female,group A,some college,standard,completed,78,87,91,10-May,sometimes,no,3,,9/10/2022
985,female,group C,some high school,standard,none,74,75,82,< 5,NULL,no,3,school_bus,9/11/2022
986,male,group A,high school,standard,none,57,51,54,10-May,regularly,yes,4,school_bus,9/12/2022
987,female,group C,associate's degree,standard,none,40,59,NULL,10-May,sometimes,yes,3,school_bus,9/13/2022
988,male,group E,some high school,standard,completed,81,75,76,> 10,never,yes,3,private,9/14/2022
989,female,group A,some high school,free/reduced,none,44,45,45,10-May,sometimes,yes,4,school_bus,NULL
990,female,group D,some college,free/reduced,completed,67,86,83,10-May,sometimes,yes,0,private,9/16/2022
991,male,group E,high school,free/reduced,completed,86,81,75,> 10,sometimes,yes,0,school_bus,9/17/2022
992,female,group B,some high school,standard,completed,65,82,78,10-May,never,yes,3,private,9/18/2022
993,female,group D,associate's degree,free/reduced,none,55,76,76,10-May,regularly,no,1,NULL,9/19/2022
994,female,group D,bachelor's degree,free/reduced,none,62,72,74,10-May,never,yes,3,school_bus,9/20/2022
995,male,group A,high school,NULL,none,63,63,62,> 10,regularly,yes,0,school_bus,9/21/2022
996,female,group E,master's degree,standard,completed,88,99,95,10-May,sometimes,yes,1,,9/22/2022
997,male,group C,high school,free/reduced,none,62,55,55,10-May,sometimes,yes,6,private,9/23/2022
998,female,group C,high school,free/reduced,completed,59,NULL,65,10-May,never,no,2,private,9/24/2022
999,female,group D,some college,standard,completed,68,78,77,> 10,never,yes,1,private,9/25/2022
1000,female,group D,some college,free/reduced,none,77,86,86,,regularly,yes,1,private,9/26/2022
1001,female,group B,bachelor's degree,standard,none,NULL,72,74,< 5,regularly,yes,3,school_bus,9/27/2022
1002,female,group C,some college,standard,completed,69,90,88,10-May,sometimes,yes,0,NULL,9/28/2022
1003,female,group B,master's degree,standard,none,90,95,93,< 5,sometimes,yes,4,school_bus,9/29/2022
1004,male,group A,associate's degree,free/reduced,none,47,57,44,10-May,never,no,1,,9/30/2022
1005,male,group C,some college,standard,none,76,78,75,10-May,sometimes,yes,0,school_bus,10/1/2022
1006,female,group B,associate's degree,NULL,none,71,83,78,10-May,regularly,yes,1,school_bus,10/2/2022
1007,female,group B,some college,standard,completed,88,95,92,10-May,never,no,1,private,10/3/2022
1008,male,group B,some college,free/reduced,none,40,43,39,> 10,sometimes,yes,1,private,10/4/2022
1009,male,group D,high school,free/reduced,completed,64,64,67,> 10,sometimes,no,3,NULL,10/5/2022
1010,female,group B,high school,free/reduced,none,38,60,50,< 5,regularly,yes,,private,10/6/2022
1011,male,group C,associate's degree,NULL,none,58,54,52,10-May,sometimes,yes,1,private,10/7/2022
1012,male,group D,associate's degree,standard,none,40,52,43,10-May,sometimes,yes,1,school_bus,10/8/2022
1013,female,group B,high school,standard,none,65,81,73,10-May,regularly,no,1,private,10/9/2022
1014,male,group A,some college,standard,completed,78,72,70,> 10,sometimes,yes,1,private,10/10/2022
1015,female,group A,master's degree,standard,none,50,53,58,< 5,sometimes,yes,2,private,10/11/2022
1016,female,group C,some high school,standard,none,69,75,78,,sometimes,yes,0,private,10/12/2022
1017,male,group C,high school,standard,none,88,89,86,10-May,NULL,yes,0,school_bus,10/13/2022
1018,female,group B,some high school,free/reduced,none,18,32,28,10-May,sometimes,yes,1,NULL,10/14/2022
1019,male,group C,master's degree,free/reduced,completed,46,42,46,10-May,sometimes,no,1,private,10/15/2022
1020,female,group C,associate's degree,free/reduced,none,54,58,NULL,NULL,never,yes,3,private,10/16/2022
1021,male,group D,high school,standard,none,66,69,63,10-May,sometimes,yes,5,school_bus,10/17/2022
1022,female,group B,some college,free/reduced,completed,65,75,70,10-May,sometimes,no,2,school_bus,10/18/2022
1023,male,group D,some college,standard,none,44,54,53,10-May,never,yes,5,,10/19/2022
1024,female,group C,some high school,standard,none,69,73,73,10-May,never,no,3,,10/20/2022
1025,male,NULL,bachelor's degree,free/reduced,completed,74,71,80,10-May,sometimes,yes,2,school_bus,10/21/2022
1026,male,group A,master's degree,free/reduced,none,73,74,72,10-May,regularly,yes,1,school_bus,10/22/2022
1027,male,group B,some college,standard,none,69,54,55,< 5,sometimes,yes,5,school_bus,10/23/2022
1028,female,group C,bachelor's degree,standard,none,67,69,75,> 10,sometimes,NULL,4,school_bus,NULL
1029,male,group C,high school,standard,none,70,70,65,10-May,sometimes,no,1,private,10/25/2022
1030,female,group D,master's degree,standard,none,62,70,75,< 5,sometimes,yes,0,private,10/26/2022
1031,female,group D,some college,standard,none,69,NULL,74,10-May,sometimes,yes,5,,10/27/2022
1032,female,group B,some college,standard,none,63,65,61,10-May,sometimes,yes,1,school_bus,NULL
1033,female,group E,master's degree,free/reduced,none,56,72,65,10-May,sometimes,no,2,private,10/29/2022
1034,male,group D,some college,standard,none,40,42,38,,sometimes,yes,0,school_bus,NULL
1035,male,group E,some college,standard,none,97,87,82,10-May,sometimes,no,,school_bus,10/31/2022
1036,male,group E,associate's degree,standard,completed,NULL,81,79,10-May,regularly,no,2,private,11/1/2022
1037,female,group D,associate's degree,standard,none,74,81,83,10-May,regularly,yes,1,private,11/2/2022
1038,female,group D,some high school,free/reduced,none,50,NULL,59,10-May,regularly,no,1,school_bus,11/3/2022
1039,female,group D,NULL,free/reduced,completed,75,90,88,10-May,regularly,NULL,5,school_bus,11/4/2022
1040,male,group B,associate's degree,free/reduced,none,57,56,NULL,10-May,never,yes,0,school_bus,11/5/2022
1041,male,group C,associate's degree,free/reduced,none,55,61,54,10-May,regularly,no,1,,NULL
1042,female,group C,associate's degree,standard,none,58,73,68,10-May,regularly,yes,3,school_bus,11/7/2022
1043,female,group B,associate's degree,standard,none,NULL,58,65,< 5,sometimes,yes,5,school_bus,11/8/2022
1044,male,group B,some college,free/reduced,completed,59,65,66,< 5,sometimes,yes,3,school_bus,11/9/2022
1045,female,group E,associate's degree,free/reduced,none,50,56,54,NULL,regularly,yes,,private,11/10/2022
1046,male,group B,associate's degree,standard,none,65,54,57,10-May,sometimes,,3,,11/11/2022
1047,female,group A,NULL,standard,completed,55,65,62,> 10,,no,3,school_bus,11/12/2022
1048,female,group C,high school,standard,none,66,71,76,< 5,regularly,no,2,private,11/13/2022
1049,female,group D,associate's degree,free/reduced,completed,57,74,76,> 10,regularly,yes,3,school_bus,NULL
1050,male,group C,high school,standard,completed,82,84,82,10-May,sometimes,yes,2,school_bus,NULL
1051,male,group E,some college,standard,none,53,55,48,> 10,regularly,yes,,private,11/16/2022
1052,male,group E,associate's degree,free/reduced,completed,77,69,68,10-May,sometimes,yes,2,private,11/17/2022
1053,male,group C,some college,standard,none,53,44,42,> 10,sometimes,yes,3,school_bus,11/18/2022
1054,male,group D,high school,standard,NULL,88,78,75,10-May,sometimes,no,2,private,11/19/2022
1055,female,group C,NULL,NULL,completed,71,84,87,> 10,regularly,no,1,private,11/20/2022
1056,NULL,group C,high school,free/reduced,none,33,41,43,> 10,regularly,yes,3,school_bus,11/21/2022
1057,female,group E,associate's degree,standard,completed,82,85,86,10-May,sometimes,yes,,school_bus,11/22/2022
1058,male,group D,associate's degree,standard,none,52,55,49,10-May,sometimes,NULL,5,private,11/23/2022
1059,male,group D,some college,standard,completed,58,59,58,10-May,sometimes,yes,0,school_bus,11/24/2022
1060,female,group C,some high school,free/reduced,none,0,17,10,< 5,never,yes,1,private,11/25/2022
1061,male,group E,bachelor's degree,free/reduced,completed,79,74,72,10-May,sometimes,yes,4,school_bus,11/26/2022
1062,male,group A,some high school,free/reduced,none,39,39,34,10-May,regularly,no,3,school_bus,11/27/2022
1063,male,group A,associate's degree,free/reduced,none,62,61,55,,regularly,no,3,school_bus,11/28/2022
1064,female,group C,associate's degree,standard,none,69,80,71,10-May,sometimes,yes,3,school_bus,11/29/2022
1065,female,group D,some high school,standard,none,NULL,58,59,> 10,sometimes,yes,3,private,11/30/2022
1066,male,group B,some high school,standard,none,67,64,61,10-May,regularly,yes,1,private,12/1/2022
1067,male,group D,some high school,free/reduced,none,45,37,37,10-May,never,yes,3,school_bus,12/2/2022
1068,female,group C,some college,standard,none,60,72,74,< 5,sometimes,yes,2,private,12/3/2022
1069,male,group B,associate's degree,free/reduced,none,61,58,56,10-May,sometimes,no,,school_bus,12/4/2022
1070,female,group C,associate's degree,standard,none,39,64,57,10-May,sometimes,no,5,school_bus,12/5/2022
1071,female,group D,some college,free/reduced,completed,58,63,73,10-May,regularly,yes,,,12/6/2022
1072,male,group D,some college,standard,completed,63,55,63,> 10,sometimes,yes,2,school_bus,12/7/2022
1073,female,group A,associate's degree,free/reduced,none,41,51,48,10-May,never,yes,1,school_bus,12/8/2022
1074,male,group C,some high school,free/reduced,none,61,57,56,> 10,regularly,yes,0,private,12/9/2022
1075,male,group C,some high school,standard,none,49,49,41,,sometimes,yes,NULL,private,12/10/2022
1076,male,group B,associate's degree,free/reduced,none,44,41,38,10-May,sometimes,no,NULL,school_bus,12/11/2022
1077,male,group E,some high school,standard,none,30,26,22,10-May,regularly,yes,0,private,12/12/2022
1078,male,group A,bachelor's degree,standard,completed,80,78,81,10-May,never,,3,private,12/13/2022
1079,female,group D,some high school,standard,NULL,61,74,NULL,NULL,sometimes,yes,0,private,12/14/2022
1080,female,group E,master's degree,standard,none,62,68,68,< 5,NULL,yes,,school_bus,12/15/2022
1081,female,group B,associate's degree,standard,none,47,49,50,10-May,sometimes,yes,0,private,12/16/2022
1082,male,group B,high school,free/reduced,none,49,45,45,< 5,regularly,yes,3,school_bus,12/17/2022
1083,male,group A,some college,free/reduced,completed,50,47,54,> 10,sometimes,yes,,private,12/18/2022
1084,male,group E,associate's degree,standard,none,72,64,63,10-May,regularly,no,4,,12/19/2022
1085,male,group D,high school,free/reduced,none,42,39,34,< 5,sometimes,NULL,1,NULL,12/20/2022
1086,female,group C,some college,NULL,none,73,80,82,> 10,regularly,no,3,private,12/21/2022
1087,female,group C,some college,free/reduced,none,76,83,88,10-May,regularly,yes,4,private,12/22/2022
1088,female,group D,associate's degree,standard,none,71,71,74,10-May,regularly,yes,5,school_bus,NULL
1089,female,NULL,some college,standard,none,58,70,67,< 5,never,yes,0,school_bus,12/24/2022
1090,female,group D,some high school,standard,none,73,86,82,> 10,regularly,yes,2,,12/25/2022
1091,female,group C,bachelor's degree,standard,none,65,72,74,< 5,regularly,yes,3,school_bus,12/26/2022
1092,male,group C,high school,free/reduced,none,27,34,36,10-May,sometimes,no,7,school_bus,12/27/2022
1093,male,group C,high school,standard,none,71,79,71,10-May,sometimes,no,1,NULL,12/28/2022
1094,male,group C,associate's degree,free/reduced,completed,43,45,50,10-May,regularly,yes,3,school_bus,12/29/2022
1095,female,group B,some college,standard,none,79,86,92,10-May,regularly,no,3,school_bus,12/30/2022
1096,male,group C,associate's degree,free/reduced,completed,78,81,82,> 10,regularly,yes,1,school_bus,12/31/2022
1097,male,group B,some high school,standard,completed,65,66,62,10-May,sometimes,NULL,0,school_bus,1/1/2022
1098,female,group E,some college,standard,completed,63,72,70,10-May,sometimes,no,3,private,1/2/2022
1099,female,group D,some college,free/reduced,none,58,67,62,10-May,sometimes,yes,0,school_bus,1/3/2022
1100,female,group D,bachelor's degree,standard,none,65,67,62,10-May,sometimes,yes,2,school_bus,1/4/2022
1101,male,group B,some college,standard,none,NULL,NULL,67,10-May,regularly,no,3,school_bus,1/5/2022
1102,male,NULL,bachelor's degree,standard,completed,68,NULL,74,> 10,sometimes,yes,4,school_bus,1/6/2022
1103,female,group D,associate's degree,standard,none,NULL,91,89,10-May,regularly,no,6,,1/7/2022
1104,male,group B,high school,standard,completed,60,44,47,10-May,sometimes,yes,0,school_bus,1/8/2022
1105,male,group C,some college,standard,completed,98,86,90,< 5,never,yes,1,school_bus,1/9/2022
1106,female,group C,some college,standard,NULL,58,67,72,< 5,regularly,yes,3,school_bus,1/10/2022
1107,female,group D,master's degree,standard,none,87,100,100,10-May,sometimes,yes,4,NULL,1/11/2022
1108,NULL,group E,associate's degree,standard,completed,66,63,64,10-May,never,no,1,school_bus,1/12/2022
1109,NULL,NULL,associate's degree,free/reduced,none,52,76,70,10-May,never,no,2,private,1/13/2022
1110,female,group B,some high school,standard,none,70,64,72,> 10,regularly,yes,NULL,private,1/14/2022
1111,female,group D,associate's degree,free/reduced,completed,77,89,98,10-May,sometimes,no,3,school_bus,1/15/2022
1112,male,group C,high school,standard,none,62,55,49,10-May,never,yes,1,school_bus,1/16/2022
1113,male,group A,associate's degree,standard,none,54,53,47,< 5,NULL,yes,3,school_bus,1/17/2022
1114,female,group D,some college,standard,NULL,51,58,54,10-May,regularly,yes,1,,1/18/2022
1115,female,group E,bachelor's degree,standard,completed,99,100,100,,sometimes,no,3,private,1/19/2022
1116,male,group C,high school,standard,none,84,77,74,< 5,regularly,NULL,3,school_bus,1/20/2022
1117,NULL,group B,bachelor's degree,free/reduced,none,75,85,82,> 10,NULL,yes,2,school_bus,1/21/2022
1118,female,group D,NULL,standard,none,78,82,79,10-May,,no,3,private,1/22/2022
1119,female,group D,some high school,standard,none,51,63,61,NULL,regularly,no,3,school_bus,1/23/2022
1120,female,group C,some college,standard,none,55,69,65,< 5,never,yes,2,private,1/24/2022
1121,female,group C,bachelor's degree,standard,completed,79,92,89,10-May,regularly,yes,0,school_bus,1/25/2022
1122,male,group B,associate's degree,standard,completed,91,89,92,< 5,sometimes,no,1,school_bus,1/26/2022
1123,female,group C,some college,standard,completed,88,93,93,< 5,regularly,yes,1,private,1/27/2022
1124,male,group D,high school,free/reduced,none,63,57,56,10-May,regularly,yes,2,school_bus,1/28/2022
1125,male,group E,some college,standard,none,83,80,73,< 5,never,no,6,,1/29/2022
